[09:24:26] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[09:24:29] [ServerMain/INFO]: Loaded 7 recipes
[09:24:29] [ServerMain/INFO]: Loaded 1271 advancements
[09:24:29] [Server thread/INFO]: Starting minecraft server version 1.20.1
[09:24:29] [Server thread/INFO]: Loading properties
[09:24:29] [Server thread/INFO]: Default game type: SURVIVAL
[09:24:29] [Server thread/INFO]: Generating keypair
[09:24:30] [Server thread/INFO]: Starting Minecraft server on *:25565
[09:24:30] [Server thread/INFO]: Using epoll channel type
[09:24:30] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[09:24:30] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[09:24:30] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[09:24:30] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[09:24:30] [Server thread/INFO]: Preparing level "world"
[09:25:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:25:26] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[09:25:27] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[09:25:30] [Server thread/INFO]: Time elapsed: 47538 ms
[09:25:30] [Server thread/INFO]: Done (59.864s)! For help, type "help"
[09:25:30] [Server thread/INFO]: Unknown or incomplete command, see below for error
[09:25:30] [Server thread/INFO]: home/codespace/.python/current/bin/python /workspaces/elserve/msx.py<--[HERE]
[09:26:16] [Server thread/INFO]: Made rCesar_ a server operator
[09:29:03] [Server thread/INFO]: rCesar_[/127.61.103.144:59339] logged in with entity id 170 at (-38.5, 86.0, -2.5)
[09:29:03] [Server thread/INFO]: rCesar_ joined the game
